,tp,tn,fp,fn,f1,mcc,ground_pairs,pred_pairs
0,62.0,9995.0,80.0,16.0,0.5636363636363636,0.5850914773861748,78,142
1,48.0,6642.0,68.0,28.0,0.5,0.5045203826413032,76,116
2,68.0,8899.0,66.0,12.0,0.6355140186915889,0.6530487143207476,80,134
3,22.0,7978.0,106.0,22.0,0.2558139534883721,0.28695797387925065,44,128
4,68.0,7130.0,50.0,12.0,0.686868686868687,0.6959892291667882,80,118
5,66.0,6660.0,50.0,10.0,0.6875000000000001,0.6989786413972666,76,116
6,66.0,6895.0,52.0,8.0,0.6874999999999999,0.7025974458492824,74,118
7,2.0,2605.0,70.0,24.0,0.04081632653061225,0.030765543873653944,26,72
8,0.0,3975.0,90.0,30.0,0.0,-0.01287805711560421,30,90
9,20.0,8331.0,110.0,54.0,0.19607843137254902,0.19472683425951764,74,130
10,0.0,594.0,36.0,0.0,0.0,0.0,0,36
11,62.0,7247.0,60.0,12.0,0.6326530612244898,0.6482607591536227,74,122
12,14.0,6960.0,106.0,60.0,0.1443298969072165,0.13723382443597532,74,120
13,42.0,2554.0,30.0,2.0,0.7241379310344828,0.741153098054398,44,72
14,42.0,2625.0,32.0,2.0,0.711864406779661,0.7309007470533284,44,74
15,24.0,2830.0,52.0,20.0,0.39999999999999997,0.40354661784425466,44,76
16,40.0,2921.0,38.0,4.0,0.6557377049180326,0.6770443821605182,44,78
17,40.0,2999.0,38.0,4.0,0.6557377049180326,0.6771924643647739,44,78
18,38.0,2480.0,32.0,6.0,0.6666666666666666,0.678131356542148,44,70
19,24.0,2681.0,50.0,20.0,0.4067796610169491,0.4087334152734189,44,74
20,16.0,2748.0,58.0,28.0,0.27118644067796616,0.2658863967883682,44,74
21,34.0,2766.0,40.0,10.0,0.576271186440678,0.5880092986219995,44,74
22,0.0,2049.0,66.0,30.0,0.0,-0.02122023380264101,30,66
23,36.0,2619.0,38.0,8.0,0.6101694915254238,0.6234009058144574,44,74
24,28.0,2468.0,44.0,16.0,0.4827586206896552,0.4864944632620079,44,72
25,26.0,2756.0,50.0,18.0,0.43333333333333335,0.4385640988536167,44,76
26,40.0,2770.0,36.0,4.0,0.6666666666666666,0.6858746809139269,44,76
27,32.0,2615.0,42.0,12.0,0.5423728813559323,0.5517343449885435,44,74
28,40.0,2999.0,38.0,4.0,0.6557377049180326,0.6771924643647739,44,78
29,42.0,3001.0,36.0,2.0,0.6885245901639344,0.7120220247064517,44,78
30,34.0,2474.0,38.0,10.0,0.5862068965517242,0.5955716429197002,44,72
31,44.0,2486.0,26.0,0.0,0.7719298245614035,0.7887112995917649,44,70
32,40.0,2770.0,36.0,4.0,0.6666666666666666,0.6858746809139269,44,76
33,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
34,34.0,2691.0,40.0,10.0,0.576271186440678,0.5877930306093209,44,74
35,24.0,2905.0,54.0,20.0,0.3934426229508197,0.39826140127089305,44,78
36,26.0,2758.0,48.0,18.0,0.4406779661016949,0.4448435644737189,44,74
37,28.0,2987.0,50.0,16.0,0.459016393442623,0.4682151023147069,44,78
38,30.0,2613.0,44.0,14.0,0.5084745762711864,0.5159010645755865,44,74
39,36.0,2695.0,36.0,8.0,0.6206896551724137,0.6325483217527158,44,72
40,12.0,2895.0,64.0,32.0,0.19999999999999998,0.1920987381367621,44,76
41,42.0,3080.0,36.0,2.0,0.6885245901639344,0.7121468144823685,44,78
42,40.0,2846.0,36.0,4.0,0.6666666666666666,0.6860292503352329,44,76
43,32.0,3227.0,50.0,12.0,0.5079365079365079,0.5246156259406857,44,82
44,34.0,3150.0,46.0,10.0,0.5483870967741935,0.5655902028876288,44,80
45,38.0,2480.0,32.0,6.0,0.6666666666666666,0.678131356542148,44,70
46,22.0,2981.0,56.0,22.0,0.36065573770491804,0.3637264212896735,44,78
47,34.0,2617.0,40.0,10.0,0.576271186440678,0.5875676254015004,44,74
48,18.0,2824.0,58.0,26.0,0.3,0.2976156306601378,44,76
49,32.0,2544.0,40.0,12.0,0.5517241379310345,0.559473527342608,44,72
50,32.0,3068.0,48.0,12.0,0.5161290322580645,0.5310120827059088,44,80
51,26.0,2832.0,50.0,18.0,0.43333333333333335,0.43885694690562693,44,76
52,42.0,2482.0,30.0,2.0,0.7241379310344828,0.7410078824632899,44,72
53,34.0,2691.0,40.0,10.0,0.576271186440678,0.5877930306093209,44,74
54,20.0,2460.0,52.0,24.0,0.3448275862068966,0.34105822371841815,44,72
55,32.0,2762.0,44.0,12.0,0.5333333333333333,0.5445543483080354,44,76
56,30.0,2913.0,48.0,12.0,0.5,0.5153896366258941,42,78
57,24.0,2830.0,52.0,20.0,0.39999999999999997,0.40354661784425466,44,76
58,14.0,3456.0,70.0,30.0,0.21874999999999997,0.21715011228782846,44,84
59,24.0,2681.0,50.0,20.0,0.4067796610169491,0.4087334152734189,44,74
60,38.0,2770.0,36.0,6.0,0.6440677966101694,0.6595921656961398,44,74
61,42.0,2923.0,36.0,2.0,0.6885245901639344,0.7118922547717212,44,78
62,22.0,2828.0,54.0,22.0,0.3666666666666667,0.36823628878288234,44,76
63,34.0,2691.0,40.0,10.0,0.576271186440678,0.5877930306093209,44,74
64,42.0,3001.0,36.0,2.0,0.6885245901639344,0.7120220247064517,44,78
65,32.0,2991.0,46.0,12.0,0.5245901639344261,0.5378742229980626,44,78
66,36.0,2548.0,36.0,8.0,0.6206896551724137,0.632145355627324,44,72
67,26.0,2756.0,50.0,18.0,0.43333333333333335,0.4385640988536167,44,76
68,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
69,22.0,2828.0,54.0,22.0,0.3666666666666667,0.36823628878288234,44,76
70,26.0,2832.0,50.0,18.0,0.43333333333333335,0.43885694690562693,44,76
71,24.0,3060.0,56.0,20.0,0.3870967741935483,0.39347124816896856,44,80
72,40.0,2848.0,34.0,4.0,0.6779661016949153,0.6955322150963577,44,74
73,32.0,2838.0,44.0,12.0,0.5333333333333333,0.5447879340897438,44,76
74,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
75,40.0,2697.0,34.0,4.0,0.6779661016949153,0.695228799810862,44,74
76,40.0,3158.0,38.0,4.0,0.6557377049180326,0.677471860461976,44,78
77,42.0,2776.0,30.0,2.0,0.7241379310344828,0.74155379134796,44,72
78,28.0,2909.0,50.0,16.0,0.459016393442623,0.46795714649329934,44,78
79,32.0,2544.0,40.0,12.0,0.5517241379310345,0.559473527342608,44,72
80,42.0,2482.0,30.0,2.0,0.7241379310344828,0.7410078824632899,44,72
81,32.0,2838.0,44.0,12.0,0.5333333333333333,0.5447879340897438,44,76
82,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
83,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
84,42.0,3078.0,38.0,2.0,0.6774193548387099,0.7029381258770843,44,80
85,40.0,3319.0,40.0,4.0,0.6451612903225806,0.6689628797641155,44,80
86,32.0,2615.0,42.0,12.0,0.5423728813559323,0.5517343449885435,44,74
87,42.0,2774.0,32.0,2.0,0.711864406779661,0.7311750327702801,44,74
88,28.0,2758.0,48.0,16.0,0.4666666666666667,0.4738941820050896,44,76
89,32.0,2546.0,38.0,12.0,0.5614035087719298,0.5678046096751537,44,70
90,32.0,2838.0,44.0,12.0,0.5333333333333333,0.5447879340897438,44,76
91,148.0,63126.0,208.0,64.0,0.5211267605633803,0.5368032896965523,212,356
92,98.0,64170.0,262.0,90.0,0.3576642335766423,0.37426160801013325,188,360
93,82.0,34670.0,182.0,46.0,0.41836734693877553,0.4433035806465114,128,264
94,2.0,25758.0,226.0,120.0,0.011428571428571427,0.005640958800419569,122,228
95,16.0,23355.0,202.0,80.0,0.10191082802547771,0.10518262580152613,96,218
96,146.0,94726.0,290.0,104.0,0.42565597667638483,0.44034130909947256,250,436
97,64.0,7727.0,62.0,22.0,0.6037735849056604,0.6098080959969988,86,126
98,54.0,46880.0,252.0,92.0,0.23893805309734514,0.25221511480277437,146,306
99,4.0,5728.0,104.0,50.0,0.04938271604938271,0.0399540969833558,54,108
100,10.0,6512.0,104.0,44.0,0.11904761904761904,0.11716680410887932,54,114
101,0.0,4934.0,100.0,16.0,0.0,-0.008013104126976402,16,100
102,12.0,4560.0,84.0,0.0,0.2222222222222222,0.35034128801478037,12,96
103,82.0,18906.0,114.0,8.0,0.5734265734265734,0.6150518180435108,90,196
104,16.0,3655.0,70.0,0.0,0.3137254901960785,0.42725909653332106,16,86
105,88.0,19305.0,108.0,2.0,0.6153846153846154,0.6606086256265328,90,196
106,6.0,4005.0,84.0,0.0,0.125,0.25553304808715094,6,90
107,8.0,4090.0,84.0,4.0,0.15384615384615383,0.23577394628889417,12,92
108,12.0,2627.0,62.0,0.0,0.27906976744186046,0.39802412697305045,12,74
109,6.0,3239.0,76.0,0.0,0.13636363636363635,0.267382147253109,6,82
110,0.0,1885.0,62.0,6.0,0.0,-0.010051774329323535,6,62
111,64.0,18310.0,128.0,26.0,0.45390070921985815,0.4834505984736416,90,192
112,40.0,16977.0,146.0,42.0,0.29850746268656714,0.3191987345642325,82,186
113,64.0,17366.0,122.0,26.0,0.463768115942029,0.49115205016433167,90,186
114,48.0,24044.0,172.0,46.0,0.3057324840764331,0.3300012104933592,94,220
115,58.0,26301.0,170.0,36.0,0.36024844720496896,0.3930562658203965,94,228
116,86.0,27722.0,150.0,8.0,0.5212121212121211,0.575473632386091,94,236
117,64.0,31596.0,188.0,30.0,0.3699421965317919,0.4132458313740666,94,252
118,34.0,26510.0,196.0,56.0,0.2125,0.23233514650553827,90,230
119,28.0,27664.0,208.0,66.0,0.1696969696969697,0.1837503209678872,94,236
120,14.0,23365.0,202.0,72.0,0.09271523178807947,0.0975803727772564,86,216
121,26.0,13984.0,142.0,44.0,0.21848739495798322,0.2340807127683748,70,168
122,32.0,3388.0,52.0,14.0,0.4923076923076923,0.5064101205802142,46,84
123,32.0,3557.0,52.0,14.0,0.4923076923076923,0.5068043338159501,46,84
124,68.0,17933.0,122.0,22.0,0.48571428571428577,0.5167915665954472,90,190
125,24.0,3551.0,62.0,18.0,0.37499999999999994,0.38972312873381715,42,86
126,30.0,3148.0,50.0,12.0,0.4918032786885245,0.5092553373430451,42,80
127,40.0,2848.0,36.0,2.0,0.6779661016949152,0.7028682184238625,42,76
128,40.0,2482.0,30.0,4.0,0.7017543859649122,0.7149913375586869,44,70
129,48.0,3909.0,40.0,8.0,0.6666666666666665,0.6784375838182863,56,88
130,48.0,3740.0,40.0,0.0,0.7058823529411764,0.734630886692453,48,88
131,38.0,3160.0,42.0,0.0,0.6440677966101694,0.6846674514321485,38,80
132,70.0,8512.0,62.0,2.0,0.6862745098039216,0.7151999713648098,72,132
133,10.0,2278.0,58.0,0.0,0.25641025641025644,0.3786918724326881,10,68
134,0.0,2554.0,72.0,2.0,0.0,-0.004631839056171422,2,72
135,38.0,9983.0,104.0,28.0,0.36538461538461536,0.3869565399378273,66,142
136,10.0,2411.0,60.0,4.0,0.23809523809523808,0.3121364170687143,14,70
137,0.0,3072.0,80.0,8.0,0.0,-0.008119354887670824,8,80
138,12.0,4560.0,84.0,0.0,0.2222222222222222,0.35034128801478037,12,96
139,20.0,6741.0,96.0,46.0,0.21978021978021978,0.21878534907584354,66,116
140,16.0,9156.0,120.0,24.0,0.1818181818181818,0.2110093337045779,40,136
141,30.0,2268.0,38.0,10.0,0.5555555555555556,0.5660320597425607,40,68
142,6.0,3082.0,72.0,0.0,0.14285714285714288,0.2741661266845678,6,78
143,0.0,2550.0,72.0,6.0,0.0,-0.008028697681654408,6,72
144,8.0,4003.0,82.0,2.0,0.15999999999999998,0.2625591913279872,10,90
145,6.0,4094.0,86.0,0.0,0.12244897959183672,0.25273622234678667,6,92
146,14.0,6291.0,100.0,36.0,0.17073170731707316,0.175955280795374,50,114
147,28.0,7249.0,94.0,10.0,0.35,0.4064183301905892,38,122
148,0.0,5105.0,102.0,46.0,0.0,-0.013226332548833033,46,102
149,42.0,11318.0,110.0,6.0,0.42,0.48852648472605575,48,152
150,0.0,4940.0,100.0,10.0,0.0,-0.006331143136646553,10,100
151,12.0,6327.0,102.0,0.0,0.1904761904761905,0.32185881034041475,12,114
152,10.0,8646.0,122.0,0.0,0.14084507042253522,0.27331935012597386,10,132
153,10.0,3080.0,70.0,0.0,0.2222222222222222,0.3496029493900505,10,80
154,8.0,4371.0,86.0,0.0,0.1568627450980392,0.2889017369220712,8,94
155,32.0,16239.0,150.0,50.0,0.24242424242424246,0.2565839115998271,82,182
156,2.0,3313.0,80.0,8.0,0.04347826086956522,0.06227352055269657,10,82
157,6.0,2925.0,72.0,0.0,0.14285714285714288,0.27399831217559545,6,78
158,0.0,2550.0,72.0,6.0,0.0,-0.008028697681654408,6,72
159,2.0,5453.0,104.0,6.0,0.03508771929824561,0.06410662714441004,8,106
160,22.0,1821.0,40.0,8.0,0.47826086956521735,0.49947436980864657,30,62
161,40.0,2210.0,28.0,0.0,0.7407407407407407,0.7621520727178849,40,68
162,36.0,2141.0,30.0,4.0,0.679245283018868,0.6940599147190797,40,66
163,30.0,4657.0,66.0,0.0,0.47619047619047616,0.5550973538037026,30,96
164,32.0,2071.0,32.0,10.0,0.6037735849056604,0.6080757182470276,42,64
165,26.0,3480.0,58.0,6.0,0.4482758620689655,0.49501888791006227,32,84
166,66.0,62031.0,288.0,96.0,0.2558139534883721,0.2728979765202344,162,354
167,10.0,4655.0,88.0,0.0,0.1851851851851852,0.3164610338036689,10,98
168,14.0,8476.0,118.0,38.0,0.15217391304347827,0.16111534427683677,52,132
169,42.0,8636.0,90.0,10.0,0.45652173913043476,0.5027812917210515,52,132
170,24.0,9704.0,114.0,28.0,0.25263157894736843,0.2774053157326578,52,138
171,14.0,12524.0,144.0,38.0,0.13333333333333336,0.14855514909881462,52,158
172,20.0,8879.0,114.0,32.0,0.21505376344086022,0.2327608322066636,52,134
173,68.0,14002.0,100.0,26.0,0.5190839694656488,0.5372230441903,94,168
174,80.0,14863.0,94.0,14.0,0.5970149253731344,0.6225827062832592,94,174
175,78.0,16822.0,104.0,16.0,0.5652173913043478,0.5934704183401415,94,182
176,82.0,13848.0,86.0,12.0,0.6259541984732824,0.6496328018014517,94,168
177,58.0,12373.0,100.0,30.0,0.47154471544715443,0.48726471365006624,88,158
178,26.0,2615.0,46.0,14.0,0.4642857142857143,0.4744580633361037,40,72
179,16.0,4906.0,84.0,44.0,0.2,0.19430013412573752,60,100
180,14.0,9419.0,124.0,34.0,0.15053763440860216,0.16513280817891698,48,138
181,14.0,7966.0,114.0,34.0,0.15909090909090912,0.17081644849342698,48,128
182,24.0,3225.0,56.0,16.0,0.4,0.4147310229240189,40,80
183,32.0,2476.0,40.0,8.0,0.5714285714285714,0.5881873670021752,40,72
184,28.0,8859.0,106.0,52.0,0.2616822429906542,0.2620882866786149,80,134
185,14.0,9387.0,124.0,66.0,0.12844036697247707,0.1236938447481202,80,138
186,0.0,8313.0,130.0,72.0,0.0,-0.011498415453856149,72,130
187,20.0,2464.0,52.0,20.0,0.35714285714285715,0.3595670947914757,40,72
188,54.0,8231.0,74.0,26.0,0.5192307692307693,0.5281185303703047,80,128
189,58.0,8630.0,72.0,18.0,0.5631067961165048,0.5789845860192093,76,130
190,28.0,7470.0,94.0,34.0,0.30434782608695654,0.3143354661279887,62,122
191,18.0,8616.0,112.0,32.0,0.2,0.21629785450683747,50,130
192,36.0,8237.0,94.0,18.0,0.391304347826087,0.4243368424663619,54,130
193,48.0,8385.0,82.0,0.0,0.5393258426966292,0.6046940511337582,48,130
194,36.0,2345.0,30.0,4.0,0.679245283018868,0.6946280165809268,40,66
195,10.0,8448.0,122.0,66.0,0.09615384615384616,0.08933085676826752,76,132
196,50.0,9042.0,86.0,2.0,0.5319148936170213,0.5914663357507202,52,136
197,26.0,9427.0,112.0,26.0,0.2736842105263158,0.30107780339407814,52,138
198,40.0,8365.0,90.0,20.0,0.42105263157894735,0.44753569181378755,60,130
199,22.0,2397.0,48.0,18.0,0.4,0.40340310164479953,40,70
200,28.0,8235.0,102.0,20.0,0.31460674157303375,0.34874379456619264,48,130
201,0.0,8470.0,132.0,44.0,0.0,-0.008905263241273657,44,132
202,34.0,9156.0,102.0,24.0,0.35051546391752575,0.37721822120691684,58,136
203,80.0,16449.0,100.0,24.0,0.5633802816901408,0.5814488828787713,104,180
204,34.0,8090.0,94.0,38.0,0.33999999999999997,0.3467406406776364,72,128
205,32.0,8351.0,96.0,36.0,0.32653061224489793,0.33590871254377075,68,128
206,46.0,7249.0,74.0,12.0,0.5168539325842697,0.5466766087475721,58,120
207,46.0,4170.0,46.0,16.0,0.5974025974025974,0.6022608771859188,62,92
208,64.0,4560.0,30.0,2.0,0.7999999999999999,0.8095350224739458,66,94
209,36.0,8498.0,94.0,18.0,0.391304347826087,0.42449940499591293,54,130
210,38.0,8769.0,94.0,10.0,0.4222222222222222,0.4732453249132997,48,132
211,16.0,7606.0,108.0,20.0,0.19999999999999998,0.23326437047294057,36,124
212,14.0,5232.0,88.0,22.0,0.2028985507246377,0.22259245024084026,36,102
213,26.0,2542.0,46.0,14.0,0.4642857142857143,0.47417382318502177,40,72
214,12.0,5127.0,90.0,24.0,0.1739130434782609,0.18897990522262045,36,102
215,34.0,3565.0,50.0,6.0,0.5483870967741935,0.5805551828862399,40,84
216,0.0,42414.0,292.0,72.0,0.0,-0.003404005896377599,72,292
217,6.0,36255.0,264.0,60.0,0.03571428571428571,0.041488530582871566,66,270
218,40.0,2556.0,32.0,0.0,0.7142857142857143,0.7407335851735214,40,72
219,36.0,9987.0,106.0,24.0,0.3564356435643564,0.38475560306799816,60,142
220,42.0,5993.0,68.0,2.0,0.5454545454545455,0.5998869760583196,44,110
221,42.0,6901.0,76.0,2.0,0.5185185185185185,0.5793124522223925,44,118
222,0.0,7918.0,128.0,82.0,0.0,-0.01276958853097118,82,128
223,20.0,1579.0,38.0,16.0,0.4255319148936171,0.42205461141090717,36,58
224,16.0,6506.0,100.0,48.0,0.17777777777777778,0.17514198562569752,64,116
225,8.0,6903.0,110.0,0.0,0.12698412698412698,0.2583277177410803,8,118
226,0.0,4182.0,90.0,6.0,0.0,-0.005493864216220754,6,90
227,0.0,6096.0,110.0,10.0,0.0,-0.005387807332205399,10,110
228,14.0,33833.0,246.0,98.0,0.07526881720430108,0.07747193976110413,112,260
229,40.0,3655.0,46.0,0.0,0.6349206349206349,0.6777428087259866,40,86
230,16.0,6299.0,96.0,30.0,0.20253164556962025,0.2143999533040266,46,112
231,8.0,6293.0,102.0,38.0,0.10256410256410256,0.10266497154011096,46,110
232,16.0,938.0,28.0,8.0,0.4705882352941177,0.47591113189340367,24,44
233,0.0,2234.0,68.0,44.0,0.0,-0.023886431591400917,44,68
234,14.0,3629.0,72.0,26.0,0.22222222222222227,0.226844504802992,40,86
235,16.0,3484.0,68.0,2.0,0.3137254901960784,0.40640702835555537,18,84
236,28.0,5871.0,82.0,14.0,0.3684210526315789,0.4057555075440007,42,110
237,30.0,4086.0,60.0,10.0,0.46153846153846156,0.4933359404405853,40,90
238,28.0,8630.0,104.0,16.0,0.3181818181818182,0.3623600382710112,44,132
239,40.0,3651.0,46.0,4.0,0.6153846153846153,0.6450306021998415,44,86
240,10.0,7966.0,118.0,34.0,0.11627906976744184,0.12534527905590329,44,128
241,30.0,6863.0,88.0,40.0,0.3191489361702127,0.3214500717800032,70,118
242,20.0,3470.0,62.0,18.0,0.3333333333333333,0.348515135478227,38,82
243,22.0,2538.0,50.0,18.0,0.39285714285714285,0.3980138911883076,40,72
244,32.0,9012.0,104.0,32.0,0.31999999999999995,0.3365025118623367,64,136
245,4.0,5085.0,98.0,66.0,0.046511627906976744,0.031772661426439634,70,102
246,18.0,6751.0,100.0,34.0,0.21176470588235294,0.2211675971166555,52,118
247,24.0,1326.0,28.0,0.0,0.631578947368421,0.6723050584225158,24,52
248,18.0,3072.0,62.0,8.0,0.339622641509434,0.38674440248229325,26,80
249,16.0,3394.0,66.0,10.0,0.29629629629629634,0.3385281037565523,26,82
250,26.0,2629.0,46.0,0.0,0.5306122448979591,0.5957359733540345,26,72
251,8.0,2615.0,64.0,14.0,0.1702127659574468,0.18957959804237348,22,72
252,0.0,2991.0,78.0,12.0,0.0,-0.010077709008612604,12,78
253,0.0,3068.0,80.0,12.0,0.0,-0.00995045400189405,12,80
254,10.0,946.0,34.0,0.0,0.37037037037037035,0.46838846602157147,10,44
255,6.0,2075.0,60.0,4.0,0.15789473684210525,0.22558878845319766,10,66
256,16.0,5732.0,92.0,46.0,0.18823529411764706,0.18428992783073958,62,108
257,0.0,5879.0,110.0,6.0,0.0,-0.004327345564860273,6,110
258,0.0,3319.0,80.0,4.0,0.0,-0.005322727542101523,4,80
259,70.0,27925.0,166.0,42.0,0.40229885057471265,0.4274328557543809,112,236
260,64.0,30083.0,182.0,52.0,0.35359116022099446,0.37554204316889334,116,246
261,0.0,2697.0,74.0,4.0,0.0,-0.006288764049039039,4,74
262,0.0,3078.0,78.0,4.0,0.0,-0.005663598819339372,4,78
263,6.0,2999.0,72.0,4.0,0.13636363636363635,0.2087639878392516,10,78
264,46.0,9180.0,88.0,2.0,0.5054945054945055,0.5705382859553189,48,134
265,48.0,9425.0,88.0,30.0,0.4485981308411215,0.46044160358330666,78,136
266,52.0,8895.0,82.0,16.0,0.5148514851485149,0.5402315880909518,68,134
267,12.0,56076.0,324.0,204.0,0.043478260869565216,0.03998010337518409,216,336
268,2.0,59808.0,346.0,222.0,0.006993006993006993,0.002551257514069185,224,348
269,40.0,8735.0,92.0,44.0,0.37037037037037035,0.37256862499296256,84,132
270,82.0,8775.0,52.0,2.0,0.7522935779816514,0.7704182245425025,84,134
271,38.0,2554.0,34.0,2.0,0.6785714285714285,0.7026536191751643,40,72
272,0.0,8709.0,132.0,70.0,0.0,-0.010910955029981012,70,132
273,16.0,9429.0,122.0,24.0,0.1797752808988764,0.20955357841812255,40,138
274,28.0,8632.0,102.0,16.0,0.3218390804597701,0.3652284409966666,44,130
275,28.0,2198.0,40.0,12.0,0.5185185185185185,0.5264712010005081,40,68
276,28.0,3233.0,52.0,8.0,0.48275862068965514,0.5145882957759684,36,80
277,4.0,3714.0,84.0,26.0,0.06779661016949153,0.06543798524998157,30,88
278,36.0,8002.0,90.0,0.0,0.4444444444444445,0.531541667256083,36,126
279,46.0,8217.0,84.0,38.0,0.42990654205607476,0.4332643240997421,84,130
280,50.0,8367.0,80.0,18.0,0.5050505050505051,0.5268820451912059,68,130
281,54.0,8897.0,80.0,14.0,0.5346534653465347,0.5614202180712768,68,134
282,26.0,9678.0,114.0,52.0,0.23853211009174316,0.24088053925923825,78,140
283,52.0,9150.0,84.0,30.0,0.4770642201834862,0.48677189615927013,82,136
284,50.0,8375.0,78.0,12.0,0.5263157894736842,0.5570233521658233,62,128
285,94.0,30059.0,152.0,76.0,0.4519230769230769,0.4560505717213736,170,246
286,62.0,19433.0,136.0,70.0,0.3757575757575758,0.37847027729212285,132,198
287,2.0,7076.0,118.0,64.0,0.021505376344086023,0.01034777607660813,66,120
288,2.0,7448.0,122.0,54.0,0.022222222222222223,0.013229857370050824,56,124
289,20.0,6741.0,98.0,44.0,0.21978021978021978,0.22046259535829668,64,118
290,22.0,2397.0,48.0,18.0,0.4,0.40340310164479953,40,70
291,18.0,4001.0,72.0,4.0,0.32142857142857145,0.3991257709697305,22,90
292,0.0,4263.0,94.0,14.0,0.0,-0.008403583884307843,14,94
293,28.0,2472.0,44.0,12.0,0.5,0.5119806095986087,40,72
294,0.0,7683.0,126.0,66.0,0.0,-0.011722944218207675,66,126
295,6.0,7954.0,122.0,46.0,0.06666666666666667,0.06421789449883637,52,128
296,6.0,3078.0,74.0,2.0,0.13636363636363635,0.23241653365957735,8,80
297,36.0,8221.0,92.0,36.0,0.36,0.3679411477336216,72,128
298,36.0,6439.0,78.0,2.0,0.47368421052631576,0.5432300937498754,38,114
299,16.0,1082.0,30.0,0.0,0.5161290322580645,0.5817579304543632,16,46
300,40.0,8365.0,90.0,20.0,0.42105263157894735,0.44753569181378755,60,130
301,32.0,3160.0,48.0,0.0,0.5714285714285715,0.627706111642635,32,80
302,48.0,19096.0,148.0,14.0,0.3720930232558139,0.43261234446489877,62,196
303,42.0,18316.0,150.0,20.0,0.3307086614173228,0.38167857457703935,62,192
304,40.0,16273.0,142.0,16.0,0.3361344537815126,0.3929268627182725,56,182
305,34.0,2081.0,30.0,0.0,0.6938775510204082,0.7236713760679141,34,64
306,44.0,6654.0,72.0,16.0,0.5,0.5218879799047094,60,116
307,40.0,68546.0,332.0,88.0,0.15999999999999998,0.180801998173735,128,372
308,52.0,20909.0,154.0,0.0,0.4031007751937985,0.5005812507152365,52,206
309,40.0,17943.0,150.0,12.0,0.3305785123966942,0.3996115447321958,52,190
310,48.0,17761.0,142.0,4.0,0.39669421487603307,0.4806126758278656,52,190
311,48.0,37123.0,226.0,4.0,0.294478527607362,0.40068450505139197,52,274
312,38.0,3740.0,50.0,0.0,0.6031746031746031,0.65277972703789,38,88
313,42.0,6437.0,72.0,4.0,0.525,0.5759765275210158,46,114
314,40.0,11318.0,112.0,6.0,0.40404040404040403,0.475182892453157,46,152
315,30.0,2987.0,48.0,16.0,0.4838709677419355,0.4912868002318091,46,78
316,34.0,3066.0,46.0,14.0,0.53125,0.5400065042352207,48,80
317,22.0,2977.0,56.0,26.0,0.34920634920634913,0.3467815381020368,48,78
318,46.0,3074.0,34.0,6.0,0.696969696969697,0.7075744917504779,52,80
319,50.0,3160.0,28.0,2.0,0.7692307692307693,0.7811133676212982,52,78
320,2.0,3030.0,78.0,50.0,0.030303030303030307,0.010824085709497396,52,80
321,26.0,3060.0,54.0,20.0,0.4126984126984127,0.4177345752769256,46,80
322,10.0,3046.0,68.0,36.0,0.16129032258064516,0.15095318445642655,46,78
323,36.0,2343.0,32.0,4.0,0.6666666666666667,0.68397847299185,40,68
324,46.0,2844.0,30.0,6.0,0.71875,0.7261313528619472,52,76
